Symbol,Company_Name,Sector,Industry,Market_Cap,P_E_Ratio,Dividend_Yield,EPS,Revenue,Profit_Margin,Debt_to_Equity,Current_Ratio,ROE,ROA,Beta,52_Week_High,52_Week_Low,Average_Volume,Shares_Outstanding,Market_Cap_Category
ALLE,Allegion plc,Industrials,Security & Protection Services,14414653440.0,22.672531,1.22,7.39,3979699968.0,0.16092,116.084,1.771,0.36411,0.10391,1.043,180.68,116.57,827290.0,86031953.0,Large Cap
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,17484791808.0,21.389936,3.03,3.18,4273999872.0,0.19139,163.145,0.825,0.11461,0.027209999,0.658,69.75,56.3,2032887.0,257053689.0,Large Cap
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,54262321152.0,6.7215557,1.96,30.85,66845999104.0,0.12533,29.43,0.426,0.34469002,0.05093,0.258,215.7,176.0,1336518.0,261681708.0,Large Cap
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3517898031104.0,28.785574,0.29,10.12,385476001792.0,0.32233003,11.424,1.747,0.3545,0.16275999,1.082,291.915,140.53,33715657.0,5818000000.0,Large Cap
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,3517150134272.0,28.771202,0.29,10.14,385476001792.0,0.32233003,11.424,1.747,0.3545,0.16275999,1.082,292.34,142.66,21794185.0,5407000000.0,Large Cap
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,98051211264.0,11.146947,7.37,5.24,20166000640.0,0.4398,,0.618,,0.22268,0.504,68.6,50.08,8347643.0,1678671552.0,Large Cap
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2662932938752.0,35.183617,,7.08,691330023424.0,0.11063,43.405,1.009,0.24327,0.07495,1.368,258.6,161.38,46014103.0,10690216011.0,Large Cap
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,19528724480.0,28.199999,6.17,0.3,17400999936.0,0.03345,134.68,1.042,0.07467,0.03543,0.689,10.71,7.67,25448114.0,2308359941.0,Large Cap
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,28453359616.0,20.228848,2.72,5.2,8634999808.0,0.1634,155.736,0.93,0.11387,0.02931,0.585,106.73,86.4,1556918.0,270494916.0,Large Cap
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,65693147136.0,17.969254,3.1,6.83,21257000960.0,0.17228001,152.132,0.686,0.12923001,0.03209,0.601,123.31,89.91,3388479.0,535265602.0,Large Cap
AXP,American Express Company,Financial Services,Credit Services,254985322496.0,24.842955,0.86,14.9,65294000128.0,0.16143999,185.273,1.602,0.33935001,0.03708,1.147,373.08,220.43,2537209.0,688851653.0,Large Cap
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,41088716800.0,13.696044,2.34,5.56,27120001024.0,0.120170005,22.48,0.617,0.07688,0.017819999,0.622,88.07,69.24,4359253.0,539576054.0,Large Cap
AMT,American Tower Corporation,Real Estate,REIT - Specialty,86508814336.0,29.472088,3.78,6.27,10454700032.0,0.28106,418.09,0.59,0.28839,0.04733,0.917,234.33,172.51,2955046.0,468146623.0,Large Cap
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,25368014848.0,22.848856,2.57,5.69,5070000128.0,0.21933001,140.983,0.421,0.10457,0.035520002,0.753,155.5,118.74,1358796.0,195123565.0,Large Cap
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,43195580416.0,12.797688,1.39,36.33,18513000448.0,0.19586,54.222,2.433,0.59589,0.022219999,1.263,582.05,396.14,533073.0,92905713.0,Large Cap
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,45497491456.0,31.1735,0.63,6.34,7164270080.0,0.20502001,26.09,1.155,0.14632,0.07488,1.045,204.15,145.02,1231514.0,230203873.0,Large Cap
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,182248783872.0,26.216112,2.94,12.91,35970998272.0,0.19474001,567.491,1.28,0.8171,0.07706,0.461,338.55,253.3,2354843.0,538480671.0,Large Cap
APH,Amphenol Corporation,Technology,Electronic Components,175615246336.0,47.66445,0.7,3.01,20973500416.0,0.18218,63.99,2.07,0.34807998,0.14032,1.194,144.37,56.45,8404300.0,1224055508.0,Large Cap
ADI,"Analog Devices, Inc.",Technology,Semiconductors,114827321344.0,59.543365,1.71,3.92,10386794496.0,0.18847999,25.541,2.324,0.05652,0.03387,1.05,258.13,158.65,3359557.0,491955436.0,Large Cap
AON,Aon plc,Financial Services,Insurance Brokers,75212292096.0,28.039263,0.86,12.48,17027999744.0,0.15962,214.88,1.058,0.3769,0.05587,0.837,412.97,323.73,1235307.0,214935265.0,Large Cap
APA,APA Corporation,Energy,Oil & Gas E&P,8721316864.0,5.8827753,4.11,4.18,9376000000.0,0.16093999,66.895,0.775,0.27427998,0.099259995,0.763,25.83,13.58,7116134.0,354669251.0,Mid Cap
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,77126557696.0,19.370262,1.56,6.86,27217000448.0,0.15777001,39.538,7.407,0.16549,0.0144299995,1.61,189.49,102.58,3604628.0,580389090.0,Large Cap
AAPL,Apple Inc.,Technology,Consumer Electronics,4067191160832.0,36.896782,0.39,7.46,416161005568.0,0.26915002,152.411,0.893,1.7142199,0.22964,1.109,277.32,169.21,51039950.0,14776353000.0,Large Cap
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,182168223744.0,27.32019,0.78,8.37,28612999168.0,0.23877001,34.67,2.501,0.35634997,0.15884,1.674,242.5,123.74,8463357.0,796642427.0,Large Cap
APP,AppLovin Corporation,Communication Services,Advertising Agencies,201052798976.0,70.237305,,8.47,6307449856.0,0.44879,238.274,3.25,2.41886,0.36786997,2.501,745.61,200.5,7031495.0,307597000.0,Large Cap
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,17632079872.0,61.81818,,1.32,20152000512.0,0.01464,85.425,1.793,0.03294,0.057729997,1.514,88.8,47.19,2176092.0,216079411.0,Large Cap
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,32875669504.0,8.49672,,10.67,19542999040.0,0.20959,11.501,0.564,0.17811,0.03899,0.453,102.37,82.45,2155982.0,362625938.0,Large Cap
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,27695233024.0,25.056522,3.64,2.3,83211001856.0,0.01429,40.467,1.372,0.05242,0.0175,0.686,65.0,40.98,3773112.0,480464483.0,Large Cap
ANET,Arista Networks Inc,Technology,Computer Hardware,169915334656.0,51.109844,,2.64,8448346112.0,0.3973,,3.254,0.31736,0.14658,1.392,164.94,59.43,8506131.0,1259285070.0,Large Cap
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,65485271040.0,40.8,1.04,6.25,12078600192.0,0.13257,58.895,1.055,0.090670004,0.0222,0.686,351.23,239.47,1529360.0,256805000.0,Large Cap
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,11294292992.0,13.73447,1.42,16.42,12568699904.0,0.06753,38.316,0.41,0.15413,0.020539999,0.58,230.55,174.97,351987.0,50081110.0,Large Cap
T,AT&T Inc.,Communication Services,Telecom Services,178512347136.0,8.201955,4.47,3.07,124479995904.0,0.17870001,124.412,1.013,0.19139999,0.040209997,0.598,29.79,21.38,45326957.0,7089449495.0,Large Cap
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,28679141376.0,24.710928,2.25,7.23,4623219200.0,0.25045002,67.241,1.373,0.09057,0.03611,0.749,180.65,136.05,839970.0,160523571.0,Large Cap
ADSK,"Autodesk, Inc.",Technology,Software - Application,64296177664.0,62.756756,,4.81,6605000192.0,0.15791,100.7,0.764,0.402,0.09272,1.477,329.09,232.67,1473329.0,213000000.0,Large Cap
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,103215316992.0,25.167652,2.42,10.14,20903399424.0,0.19788,154.917,1.054,0.70572996,0.06624,0.858,329.93,249.68,1867385.0,404448744.0,Large Cap
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,62476275712.0,25.90153,,145.02,18938716160.0,0.13191,,0.876,,0.12353,0.41,4388.11,3036.4,127859.0,16632663.0,Large Cap
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,25322840064.0,21.809755,3.96,8.2,3065607936.0,0.38122,73.165,0.707,0.09754,0.02813,0.748,239.29,166.73,856734.0,141594945.0,Large Cap
AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,13473359872.0,19.763039,2.17,8.82,8769999872.0,0.07932,171.013,1.264,0.30211002,0.08288,1.015,207.99,156.23,687226.0,77295394.0,Large Cap
AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,45150990336.0,181.06961,,3.16,2557957120.0,0.100509994,69.33,3.124,0.10028,-0.00032000002,1.369,885.92,469.24,674723.0,78910466.0,Large Cap
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,48302583808.0,16.87931,1.89,2.9,27711000576.0,0.104329996,33.042,1.409,0.1689,0.057729997,0.894,50.93,33.6,6688476.0,986773882.0,Large Cap
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,12662395904.0,18.385214,1.72,2.57,12693999616.0,0.05357,138.426,1.105,0.117469996,0.04535,1.141,63.35,43.51,2575062.0,267987212.0,Large Cap
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,391632846848.0,14.653006,2.1,3.66,101445001216.0,0.29224002,,,0.09871,0.00881,1.304,54.0,33.07,35140435.0,7302495550.0,Large Cap
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,9381518336.0,,3.83,-0.7,11022999552.0,-0.030940002,134.627,1.837,-0.04658,0.02849,0.611,37.74,17.47,6824087.0,514055805.0,Mid Cap
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,54178324480.0,34.55576,2.31,5.47,21839998976.0,0.07683,75.545,1.113,0.06544,0.03522,0.285,251.99,162.29,1928607.0,286627469.0,Large Cap
BRK.B,,,,,,,,,,,,,,,,,,,Unknown
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,16320666624.0,21.399448,4.86,3.63,41598001152.0,0.0187,150.074,1.038,0.26722,0.06979,1.389,95.49,54.99,3500085.0,210101265.0,Large Cap
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,9220996096.0,120.775505,0.56,0.49,1216732032.0,0.06409,20.067,4.217,0.038,0.060900003,1.467,79.28,46.01,2255154.0,155812701.0,Mid Cap
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,23407814656.0,14.545122,,10.97,10065899520.0,0.1598,36.194,2.716,0.09307,0.057490002,0.145,175.86,110.04,1644181.0,146702272.0,Large Cap
BLK,"BlackRock, Inc.",Financial Services,Asset Management,168456650752.0,27.933111,1.92,38.87,22884999168.0,0.26638,24.32,2.256,0.120740004,0.033269998,1.481,1219.94,773.74,589425.0,155150909.0,Large Cap
BX,Blackstone Inc.,Financial Services,Asset Management,176849813504.0,41.66092,3.25,3.48,12791218176.0,0.2117,65.942,1.004,0.26457,0.121190004,1.762,200.96,115.66,3939026.0,738450871.0,Large Cap
XYZ,"Block, Inc.",Technology,Software - Infrastructure,40051204096.0,13.261571,,4.97,23973765120.0,0.13081001,36.049,2.183,0.14692001,0.0226,2.651,99.26,44.27,6298156.0,547667000.0,Large Cap
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,77580091392.0,16.03026,1.91,6.94,19733999616.0,0.26568002,,,0.121520005,0.01194,1.123,111.935,70.46,3283831.0,697349124.0,Large Cap
BA,The Boeing Company,Industrials,Aerospace & Defense,148378238976.0,,,-13.7,80756998144.0,-0.12197,,1.182,,-0.035099998,1.17,242.69,128.88,7782257.0,760095468.0,Large Cap
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,162801713152.0,32.858303,0.77,153.71,26038999040.0,0.19371,,1.334,,0.20249,1.251,5839.41,4096.23,227612.0,32233815.0,Large Cap
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,151950311424.0,54.812836,,1.87,19349000192.0,0.1443,50.973,1.508,0.12488,0.05756,0.674,109.5,85.98,8794251.0,1482442039.0,Large Cap
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,99181895680.0,16.404041,5.25,2.97,48034000896.0,0.12572,274.414,1.266,0.33777002,0.0939,0.309,63.33,42.52,14594610.0,2035753027.0,Large Cap
AVGO,Broadcom Inc.,Technology,Semiconductors,1662083530752.0,90.01534,0.66,3.91,59925999616.0,0.31592,166.032,1.497,0.27083,0.08895001,1.21,386.48,138.1,23350621.0,4722365022.0,Large Cap
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,26015070208.0,28.536491,1.75,7.81,7055600128.0,0.13112001,132.063,0.927,0.38215,0.09519,0.997,271.91,212.33,651867.0,116727559.0,Large Cap
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,27327322112.0,24.254545,0.84,3.3,5350000128.0,0.18691999,64.746,1.182,0.10695,0.03938,0.816,125.68,76.17,2833178.0,341420790.0,Large Cap
BF.B,,,,,,,,,,,,,,,,,,,Unknown
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,11822171136.0,20.286528,,5.27,15653056512.0,0.03795,117.723,1.786,0.13555999,0.057589997,1.561,194.36,102.6,1949184.0,110580581.0,Large Cap
BG,Bunge Global SA,Consumer Defensive,Farm Products,18649671680.0,10.861486,2.95,8.88,60109000704.0,0.02201,102.816,1.66,0.09758,0.02592,0.78,99.55,67.4,1921329.0,193361047.0,Large Cap
BXP,"BXP, Inc.",Real Estate,REIT - Office,12810847232.0,,3.91,-1.28,3425025024.0,-0.058509998,231.148,1.101,-0.01883,0.02379,1.011,84.75,54.22,1903251.0,158468685.0,Large Cap
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,17803272192.0,30.444445,1.66,4.95,16504784896.0,0.03636,80.904,1.585,0.34318,0.095790006,0.909,158.7,84.68,1673010.0,118137178.0,Large Cap
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,86698737664.0,82.09021,,3.88,5212625920.0,0.20354,47.685,3.048,0.21736,0.11089,1.043,376.45,221.56,1759350.0,272201000.0,Large Cap
CPT,Camden Property Trust,Real Estate,REIT - Residential,11031067648.0,41.975708,4.1,2.47,1578428032.0,0.1705,81.136,0.052,0.059310004,0.01989,0.832,127.65,97.17,1032187.0,106395330.0,Large Cap
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,9392530432.0,15.696517,5.09,2.01,10252999680.0,0.058709998,184.734,0.768,0.15636,0.06123,-0.055,46.95,29.39,5878362.0,297703053.0,Mid Cap
COF,Capital One Financial Corporation,Financial Services,Credit Services,140338200576.0,75.34129,1.45,2.93,28885999616.0,0.04899,,,0.01615,0.0024899999,1.165,232.45,143.22,3423506.0,635733605.0,Large Cap
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,48661839872.0,30.84488,0.99,6.64,234309992448.0,0.00681,,0.957,,0.03438,0.644,207.47,114.6,2574859.0,237595042.0,Large Cap
CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,35179253760.0,13.8092785,,1.94,26229999616.0,0.10069,233.568,0.338,0.25733998,0.05284,2.527,32.8,15.07,21203831.0,1167541049.0,Large Cap
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,47980691456.0,35.60625,1.57,1.6,22058000384.0,0.18052,83.159,1.141,0.0998,0.03812,1.292,81.09,54.22,5983450.0,842209781.0,Large Cap
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,266063233024.0,29.169493,1.06,19.47,64670998528.0,0.14339,201.046,1.384,0.46283,0.08206,1.562,596.21,267.3,2945431.0,468478923.0,Large Cap
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,27129090048.0,27.876343,1.11,9.3,4617800192.0,0.21287,32.645,1.718,0.21621001,0.09729,0.357,260.67,187.3,824231.0,104644514.0,Large Cap
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,46097154048.0,43.6338,,3.55,39324999680.0,0.031229999,104.121,1.127,0.14091,0.044299997,1.342,171.0,108.45,1530656.0,297554325.0,Large Cap
CDW,CDW Corporation,Technology,Information Technology Services,18574729216.0,18.036663,1.76,7.91,22099099648.0,0.04757,239.737,1.39,0.43007,0.07037,1.055,222.92,137.31,1413581.0,130193660.0,Large Cap
COR,"Cencora, Inc.",Healthcare,Medical Distribution,70780936192.0,45.922012,0.66,7.95,321332805632.0,0.00484,438.489,0.903,1.23751,0.03259,0.64,366.17,223.92,1468776.0,193877881.0,Large Cap
CNC,Centene Corporation,Healthcare,Healthcare Plans,17380077568.0,,,-10.67,167680000000.0,-0.03155,83.51,1.084,-0.2186,0.020079998,0.487,66.81,25.08,12521179.0,491518000.0,Large Cap
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric,25912340480.0,25.12025,2.23,1.58,9114000384.0,0.11367,202.111,0.513,0.09606,0.02901,0.562,40.5,29.96,5000368.0,652868273.0,Large Cap
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,13051958272.0,10.1185,2.41,8.27,6736000000.0,0.20472,44.133,2.273,0.21967,0.095649995,0.673,104.45,67.34,2475076.0,155974644.0,Large Cap
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,8538884608.0,,,-1.54,4023704064.0,-0.020450002,76.251,1.366,-0.021879999,0.043449998,1.636,221.6,91.86,993220.0,49215471.0,Mid Cap
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,170799169536.0,22.51054,1.13,4.27,22914000896.0,0.35930002,99.789,0.59,0.17046,0.01768,0.953,99.59,65.88,9021193.0,1776936770.0,Large Cap
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,27075028992.0,5.803606,,36.05,55098998784.0,0.092939995,497.907,0.375,0.31327,0.05546,1.054,437.06,208.37,1989764.0,129409366.0,Large Cap
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,312379015168.0,21.974684,4.39,7.11,188687007744.0,0.06767,21.239,1.152,0.07316,0.04047,0.669,168.96,132.04,7408598.0,1999353597.0,Large Cap
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,39417106432.0,26.380531,,1.13,11787400192.0,0.13036,154.574,1.542,0.44958,0.13583,0.999,66.74,29.75,21581370.0,1322278000.0,Large Cap
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,115082141696.0,12.224916,1.35,23.92,58842001408.0,0.16442,30.958,0.38,0.1364,0.029679999,0.527,306.91,252.16,1828775.0,393550859.0,Large Cap
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,20533522432.0,26.974764,1.39,3.17,6141000192.0,0.12742,56.855,1.086,0.18594,0.07856,0.452,116.46,81.33,2168262.0,240130071.0,Large Cap
CI,The Cigna Group,Healthcare,Healthcare Plans,71589724160.0,11.863656,2.34,22.59,268077006848.0,0.02293,81.021,0.828,0.15538,0.0395,0.275,350.0,239.51,1835946.0,267125816.0,Large Cap
CINF,Cincinnati Financial Corporation,Financial Services,Insurance - Property & Casualty,25919356928.0,12.360864,2.09,13.44,12078000128.0,0.17569,5.732,1.118,0.14529,0.04305,0.703,168.0,123.02,506090.0,156018513.0,Large Cap
CTAS,Cintas Corporation,Industrials,Specialty Business Services,74650755072.0,41.28,0.97,4.5,10556716032.0,0.17538,56.254,2.239,0.42187,0.15977,0.963,229.24,180.39,2100651.0,401866678.0,Large Cap
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,282589396992.0,28.121569,2.27,2.55,56654000128.0,0.17969,63.282,0.998,0.22059,0.06342,0.869,74.84,52.11,19098629.0,3940724908.0,Large Cap
C,Citigroup Inc.,Financial Services,Banks - Diversified,180286455808.0,14.151686,2.36,7.12,75383996416.0,0.19488001,,,0.06995,0.0058399998,1.198,105.59,55.51,13335917.0,1789266159.0,Large Cap
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,22436358144.0,14.633054,3.51,3.57,7442999808.0,0.22894,,,0.067140006,0.0077,1.112,55.24,32.6,4398210.0,429486191.0,Large Cap
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,12811598848.0,16.488226,4.74,6.37,6770999808.0,0.11682,2230.435,0.759,4.43646,0.114630006,0.565,171.37,104.09,1880137.0,121980379.0,Large Cap
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,100549640192.0,27.045586,1.8,10.31,6385200128.0,0.58946997,13.372,1.021,0.13346,0.01601,0.297,290.79,222.56,1889332.0,360596647.0,Large Cap
CMS,CMS Energy Corporation,Utilities,Utilities - Regulated Electric,22775291904.0,21.567722,2.93,3.47,8295000064.0,0.12622,191.634,0.899,0.11233,0.03254,0.474,76.45,63.97,2409990.0,304319765.0,Large Cap
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,308038205440.0,23.711922,2.89,3.02,47663001600.0,0.2734,144.771,1.211,0.42442,0.08959,0.398,74.38,60.62,16140629.0,4301608845.0,Large Cap
CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,35295936512.0,16.92824,1.7,4.32,20856999936.0,0.10203,7.854,2.358,0.14501001,0.101560004,0.974,90.82,65.15,4382493.0,482646473.0,Large Cap
COIN,"Coinbase Global, Inc.",Financial Services,Financial Data & Stock Exchanges,81974419456.0,26.275715,,11.57,7370428928.0,0.43664002,48.559,2.404,0.26005,0.00736,3.675,444.65,142.58,9279364.0,228162467.0,Large Cap
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,64057982976.0,22.260506,2.65,3.57,20096999424.0,0.1447,680.048,0.93,2.93635,0.15337,0.3,100.18,74.55,6047870.0,806064942.0,Large Cap
CMCSA,Comcast Corporation,Communication Services,Telecom Services,100024909824.0,4.5598006,4.87,6.02,123310997504.0,0.18333,101.462,0.882,0.24186,0.051069997,0.826,44.2,25.75,26475246.0,3634450130.0,Large Cap
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,8275483136.0,9.774011,8.24,1.77,11450500096.0,0.07424,92.867,1.058,0.096540004,0.046669997,-0.011,28.69,16.6,11580506.0,478351641.0,Mid Cap
COP,ConocoPhillips,Energy,Oil & Gas E&P,112067289088.0,12.809322,3.81,7.08,61280002048.0,0.14445,36.169,1.323,0.15421,0.080979995,0.327,115.38,79.88,6563006.0,1235718250.0,Large Cap
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,35945578496.0,17.41084,3.46,5.72,16593000448.0,0.122700006,110.373,1.075,0.08839,0.03264,0.365,114.87,87.28,2148451.0,360935608.0,Large Cap
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Brewers,22947313664.0,19.186317,3.18,6.87,9624000512.0,0.12705,135.429,1.083,0.15912,0.0896,0.463,245.31,126.45,2731904.0,174039535.0,Large Cap
CEG,Constellation Energy Corporation,Utilities,Utilities - Independent Power Producers,109823057920.0,40.282936,0.43,8.73,24841000960.0,0.11026,61.51,1.563,0.19839,0.0388,1.13,412.7,161.35,2514739.0,312290080.0,Large Cap
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,14262552576.0,35.166668,,2.04,4045700096.0,0.1008,29.67,2.116,0.050100002,0.03794,1.06,106.63,61.78,2758975.0,198808921.0,Large Cap
CPRT,"Copart, Inc.",Industrials,Specialty Business Services,40010272768.0,26.0,,1.59,4646958080.0,0.33408,1.127,8.422,0.18481001,0.118310004,1.111,64.38,39.58,7030473.0,967834374.0,Large Cap
GLW,Corning Incorporated,Technology,Electronic Components,75387699200.0,56.365387,1.26,1.56,14915000320.0,0.09159,76.51,1.556,0.12739,0.044239998,1.103,92.57,37.31,7620575.0,857360396.0,Large Cap
CPAY,"Corpay, Inc.",Technology,Software - Infrastructure,20525484032.0,19.733198,,14.73,4314608128.0,0.24365999,197.201,1.134,0.29097,0.06309,0.86,400.81,252.84,507962.0,70614383.0,Large Cap
